"CA_MPA_Name_Short","year","y","lnDiff","mpa","reference","Diff","resp","time","type","Location","Hectares","source","BA"
"Naples SMCA",2012,"Strongylocentrotus purpuratus",0.659646510829901,0.142286854861705,0.0735671514114628,1.93410852713178,"Den",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2013,"Mesocentrotus franciscanus",0.253523153640462,0.699055330634278,0.54251012145749,1.28855721393035,"Den",1,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2013,"Strongylocentrotus purpuratus",0.890470032252412,0.0708582834331337,0.0290846877673225,2.43627450980392,"Den",1,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2014,"Mesocentrotus franciscanus",0.509224342399017,0.56140350877193,0.337381916329285,1.664,"Den",2,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2014,"Strongylocentrotus purpuratus",-0.349375641457121,0.0627316794981466,0.0889649272882806,0.705128205128205,"Den",2,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2015,"Mesocentrotus franciscanus",0.731613461387741,0.286099865047234,0.137651821862348,2.07843137254902,"Den",3,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2015,"Strongylocentrotus purpuratus",0,0.0387795836897633,0.0387795836897633,1,"Den",3,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2016,"Mesocentrotus franciscanus",2.32378730064465,0.192982456140351,0.0188933873144399,10.2142857142857,"Den",4,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2016,"Strongylocentrotus purpuratus",-0.552565229938756,0.0173937838608497,0.0302252637581979,0.575471698113208,"Den",4,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2017,"Mesocentrotus franciscanus",-0.150282203049338,0.0998650472334683,0.116059379217274,0.86046511627907,"Den",5,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2017,"Strongylocentrotus purpuratus",-0.457424847038875,0.0285143997718848,0.045052751639578,0.632911392405063,"Den",5,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2018,"Mesocentrotus franciscanus",2.1540850846756,0.581646423751687,0.067476383265857,8.62,"Den",6,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2018,"Strongylocentrotus purpuratus",1.06669815069727,0.21542629027659,0.0741374394069005,2.90576923076923,"Den",6,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2019,"Mesocentrotus franciscanus",1.76358859226136,0.330634278002699,0.0566801619433198,5.83333333333333,"Den",7,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2019,"Strongylocentrotus purpuratus",0.932194134074069,0.189763330481893,0.0747077274023382,2.54007633587786,"Den",7,"SMCA","ML",673.8031024,"LTER","After"
"Naples SMCA",2001,"Strongylocentrotus purpuratus",2.52050472057163,0.544767607641858,0.0438096702578927,12.4348712153047,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2002,"Strongylocentrotus purpuratus",3.15457969859304,0.294126033646991,0.0125463358996293,23.4431818181818,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2005,"Strongylocentrotus purpuratus",1.81373837594683,0.052466495580268,0.00855431993156544,6.13333333333333,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2006,"Strongylocentrotus purpuratus",3.98248146907671,0.152979754776162,0.00285143997718848,53.6499999999999,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
"Naples SMCA",2007,"Strongylocentrotus purpuratus",2.9274534328007,0.266324493869404,0.0142571998859424,18.68,"Bio",0,"SMCA","ML",673.8031024,"LTER","Before"
